ID|NAME|CP|LVL|STATE|SHINY|MOVE1|MOVE2|MOVE3
|Kanto (Gen 1)|||HEADER||||
BULBASAUR|Bulbasaur|951|32|||||
IVYSAUR|Ivysaur|1,391|29|||||
VENUSAUR|Venusaur|2,407|33|||||
CHARMANDER|Charmander|869|35|||||
CHARMELEON|Charmeleon|935|20|||||
CHARIZARD|Charizard|1,691|21|||||
SQUIRTLE|Squirtle|697|27|||||
WARTORTLE|Wartortle|||||||
BLASTOISE|Blastoise|1,915|28|||||
CATERPIE|Caterpie|353|31|||||
METAPOD|Metapod|||||||
BUTTERFREE|Butterfree|||||||
WEEDLE|Weedle|392|34|||||
KAKUNA|Kakuna|230|20|||||
BEEDRILL|Beedrill|1,615|33|||||
PIDGEY|Pidgey|582|33|||||
PIDGEOTTO|Pidgeotto|1,003|31|||||
PIDGEOT|Pidgeot|1,450|24|||||
RATTATA|Rattata|632|33|||||
RATICATE|Raticate|1,598|37|||||
SPEAROW|Spearow|533|24|||||
FEAROW|Fearow|1,680|30|||||
EKANS|Ekans|758|30|||||
ARBOK|Arbok|1,686|33|||||
PIKACHU|Pikachu|648|25|||||
RAICHU|Raichu|||||||
SANDSHREW|Sandshrew|1,012|29|||||
SANDSLASH|Sandslash|||||||
NIDORAN_FEMALE|Nidoran♀|675|31|||||
NIDORINA|Nidorina|||||||
NIDOQUEEN|Nidoqueen|2,238|34|||||
NIDORAN_MALE|Nidoran♂|725|32|||||
NIDORINO|Nidorino|1,007|26|||||
NIDOKING|Nidoking|1,871|26|||||
CLEFAIRY|Clefairy|1,015|34|||||
CLEFABLE|Clefable|1,839|27|||||
VULPIX|Vulpix|738|31|||||
NINETALES|Ninetales|1,822|28|||||
JIGGLYPUFF|Jigglypuff|642|36|||||
WIGGLYTUFF|Wigglytuff|1,734|35|||||
ZUBAT|Zubat|586|35|||||
GOLBAT|Golbat|||||||
ODDISH|Oddish|1,107|35|||||
GLOOM|Gloom|1,478|33|||||
