ID|NAME|CP|LVL|STATE|SHINY|MOVE1|MOVE2|MOVE3
LAPRAS|Lapras|1,514|20|LUCKY||Frost Breath|Blizzard|-
GYARADOS|Gyarados|3,162|37|LUCKY||Waterfall|Outrage|Hydro Pump
ONIX|Onix|117|4|LUCKY||Rock Throw|Iron Head|-
BELLOSSOM|Bellossom|1,491|23|LUCKY||||-
DRAGONITE|Dragonite|3,262|31|LUCKY||||-
GOLEM_ALOLA|Alolan Golem|2,700|35|LUCKY||Rock Throw|Rock Blast|Wild Charge
SLAKING|Slaking|4,220|38|LUCKY|SHINY|Yawn|Body Slam|Play Rough
NIDOQUEEN|Nidoqueen|2,149|32|LUCKY||||-
SLOWPOKE|Slowpoke|373|11|LUCKY||||-
ALAKAZAM|Alakazam|1,463|17|LUCKY||||-
POLIWHIRL|Poliwhirl|560|14|LUCKY||||-
INFERNAPE|Infernape|1,585|21|LUCKY||||-
GENGAR|Gengar|1,041|13|LUCKY||||-
ELECTABUZZ|Electabuzz|825|12|LUCKY||||-
DRAGONAIR|Dragonair|388|8|LUCKY||||-
AGGRON|Aggron|2,693|34|LUCKY||||-
MEDICHAM|Medicham|839|21|LUCKY||||-
URSARING|Ursaring|1,462|17|LUCKY||||-
UMBREON|Umbreon|1,950|36|LUCKY||||-
NIDORINA|Nidorina|373|10|LUCKY||||-
PRIMEAPE|Primeape|1,124||TRASH||||-
ESPEON|Espeon|2,813|33|LUCKY||||-
SCEPTILE|Sceptile|1,488|19|LUCKY||Bullet Seed|Frenzy Plant|Leaf Blade
GOLEM_ALOLA|Alolan Golem|2,678|35|LUCKY||||-
PUPITAR|Pupitar|749|15|LUCKY||||-
OMASTAR|Omastar|1,494|19|LUCKY||||-
HAUNTER|Haunter|437|8|LUCKY||||-
ELECTABUZZ|Electabuzz|170||TRASH||||-
NIDORAN_FEMALE|Nidoran♀|11||TRASH||||-
KOFFING|Koffing|16||TRASH||||-
GLACEON|Glaceon|1,718|19|LUCKY||||-
PUPITAR|Pupitar|1,186|24|LUCKY||||-
FEAROW|Fearow|667|12|LUCKY||Steel Wing|Twister|-
GROVYLE|Grovyle|1,068|23|LUCKY||||-
GULPIN|Gulpin|115|5|LUCKY||||-
LOMBRE|Lombre|434|13|LUCKY||||-
GASTRODON_EAST_SEA|Gastrodon (East Sea)|843|13|LUCKY||||-
BULBASAUR|Bulbasaur|15||TRASH||||-
CRAWDAUNT|Crawdaunt|772|11|LUCKY||||-
SWALOT|Swalot|1,478|27|LUCKY||||-
GRANBULL|Granbull|1,868|26|LUCKY||||-
FERALIGATR|Feraligatr|2,493|32|LUCKY||Waterfall|Hydro Cannon|Crunch
MUDKIP|Mudkip|49|2|LUCKY||||-
SWAMPERT|Swampert|2,655|34|LUCKY||Water Gun|Hydro Cannon|Muddy Water
WEEPINBELL|Weepinbell|888|20|LUCKY||||-
DODUO|Doduo|264|8|LUCKY||||-
MARSHTOMP|Marshtomp|935|19|LUCKY||||-
RATICATE|Raticate|772||TRASH||||-
SHARPEDO|Sharpedo|159|3|LUCKY||||-
OMANYTE|Omanyte|1,030|24|LUCKY||||-
WHISCASH|Whiscash|1,485|25|LUCKY||||-
CASTFORM_SUNNY|Castform (Sunny)|500||TRASH||||-
DRAPION|Drapion|2,076|31|LUCKY||||-
MEOWTH|Meowth|420|20|LUCKY||||-
WEEDLE|Weedle|19||TRASH||||-
SCEPTILE|Sceptile|2,402|32|LUCKY||||-
MAKUHITA|Makuhita|204|9|LUCKY||||-
TURTWIG|Turtwig|259||TRASH||||-
JOLTEON|Jolteon|1,467|18|LUCKY||||-
RALTS_FEMALE|Ralts♀|321|22|LUCKY||||-
WORMADAM_FEMALE_PLANT|Wormadam♀ (Plant)|1,015|20|LUCKY||||-
RATTATA_ALOLA|Alolan Rattata|244||TRASH||||-
RATTATA|Rattata|264|13|LUCKY||||-
PELIPPER|Pelipper|650|11|LUCKY||||-
EEVEE|Eevee|267|9|LUCKY||||-
DROWZEE|Drowzee|77|3|LUCKY||||-
NINETALES|Ninetales|1,535|24|LUCKY||||-
KAKUNA|Kakuna|144|12|LUCKY||||-
POLITOED_PURIFIED|Politoed (Purified)|1,788|26|LUCKY||||-
POLIWHIRL|Poliwhirl|873|22|LUCKY||||-
GARDEVOIR_FEMALE|Gardevoir♀|2,722|33|LUCKY||||-
EMPOLEON|Empoleon|2,596|34|LUCKY||||-
GOLBAT|Golbat|941|17|LUCKY||||-
WAILMER|Wailmer|890|22|LUCKY||||-
ARBOK|Arbok|804|15|LUCKY||||-
POLIWAG|Poliwag|229|10|LUCKY||||-
WEEDLE|Weedle|84||TRASH||||-
GLIGAR|Gligar|357|7|LUCKY||||-
LEAFEON|Leafeon|2,531|31|LUCKY||Razor Leaf|Last Resort|-
DROWZEE|Drowzee|231||TRASH||||-
PARASECT|Parasect|1,256|24|LUCKY||||-
CHINCHOU|Chinchou|177|6|LUCKY||||-
SENTRET|Sentret|184||TRASH||||-
FURRET|Furret|1,195|24|LUCKY||||-
MEGANIUM|Meganium|1,224|18|LUCKY||||-
SEEL|Seel|128||TRASH||||-
RALTS_FEMALE|Ralts♀|23|2|LUCKY||||-
ZIGZAGOON|Zigzagoon|51|4|LUCKY||||-
RALTS_MALE|Ralts♂|163|11|LUCKY||||-
RALTS_MALE|Ralts♂|227|15|LUCKY||||-
EEVEE|Eevee|45|2|LUCKY||||-
TAUROS|Tauros|2,496|38|LUCKY||||-
KIRLIA_FEMALE|Kirlia♀|327|12|LUCKY||||-
ALTARIA|Altaria|1,671|30|LUCKY||Dragon Breath|Dragon Pulse|Sky Attack
MILOTIC|Milotic|41|1|LUCKY||||-
GRIMER|Grimer|19||TRASH||||-
SUNKERN|Sunkern|62|6|LUCKY||||-
TURTWIG|Turtwig|16||TRASH||||-
TORTERRA|Torterra|2,659|35|LUCKY||||-
SHIFTRY|Shiftry|1,478|22|LUCKY||Bullet Seed|Foul Play|-
LILLIPUP|Lillipup|253||TRASH||||-
RALTS_FEMALE|Ralts♀|236|16|LUCKY||||-
SNIVY|Snivy|60|3|LUCKY||||-
RALTS_FEMALE|Ralts♀|361|25|LUCKY||||-
