ID|NAME|CP|LVL|STATE|SHINY|MOVE1|MOVE2|MOVE3
HO_OH|Ho-Oh|1,616|15|VALUABLE|SHINY|||
SLAKOTH|Slakoth|627|23||SHINY|||
SLAKING|Slaking|4,144|37|LUCKY|SHINY|Yawn|Body Slam|Play Rough
SLAKOTH|Slakoth|572|21||SHINY|||
SLAKOTH|Slakoth|818|30||SHINY|||
SLAKOTH|Slakoth|518|19||SHINY|||
SLAKOTH|Slakoth|709|26||SHINY|||
EXEGGUTOR_ALOLA|Alolan Exeggutor|2,094|26||SHINY|||
SLAKOTH|Slakoth|736|27||SHINY|||
SLAKOTH|Slakoth|545|20||SHINY|||
NATU|Natu|421|14||SHINY|||
MUDKIP|Mudkip|1,001|35||SHINY|||
MUDKIP|Mudkip|80|3||SHINY|||
MUDKIP|Mudkip|924|30||SHINY|||
EEVEE|Eevee|584|20||SHINY|||
RALTS_MALE|Ralts♂|331|23||SHINY|||
RALTS_FEMALE|Ralts♀|52|4||SHINY|||
RALTS_MALE|Ralts♂|331|23||SHINY|||
RALTS_MALE|Ralts♂|403|28||SHINY|||
SNEASEL|Sneasel|1,020|18||SHINY|||
SUICUNE|Suicune|1,657|20|VALUABLE|SHINY|||
SNEASEL|Sneasel|447|8||SHINY|||
TURTWIG|Turtwig|16|1||SHINY|||
TURTWIG|Turtwig|681|21||SHINY|||
TURTWIG|Turtwig|50|2||SHINY|||
LILLIPUP|Lillipup|117|5||SHINY|||
GIRATINA_ALTERED|Giratina (Altered)|1,881|20|VALUABLE|SHINY|||
TRAPINCH|Trapinch|127|4||SHINY|||
ODDISH|Oddish|437|13||SHINY|||
ONIX|Onix|173|6||SHINY|||
BLASTOISE|Blastoise|1,435|22|VALUABLE|SHINY|||
BAGON|Bagon|473|15||SHINY|||
SWINUB|Swinub|419|21||SHINY|||
TRAPINCH|Trapinch|1,045|30||SHINY|||
RALTS_FEMALE|Ralts♀|454|33||SHINY|||
RALTS_MALE|Ralts♂|68|5||SHINY|||
TURTWIG|Turtwig|584|18||SHINY|||
MR_MIME|Mr. Mime|1,879|31||SHINY|||
HO_OH|Ho-Oh|2,154|20|VALUABLE|SHINY|||
PATRAT|Patrat|642|30||SHINY|||
TURTWIG|Turtwig|389|12||SHINY|||
WEAVILE|Weavile|1,669|20|VALUABLE|SHINY|||
SHELLDER|Shellder|884|30||SHINY|||
TAILLOW|Taillow|310|15||SHINY|||
PIPLUP|Piplup|14|1||SHINY|||
