TYPE|ID_FULL|DISPLAY|COMMENTS|ID|_GENDER|_REGION|_FORM|_COSTUME|_PURIFIED|POGO_ID_FULL|POGO_ID|POGO_FORM|THESILPHROAD_ID_FULL|TYPE1|TYPE2|ATK|DEF|STA|FAMILY|PARENT|BRANCH|POKEDEX_ID|GEN|REGION|FORM|GENDER|COSTUME|PURIFIED|BABY|LEGENDARY|MYTHICAL|MEGA|_blank|REGIONAL|RELEASED_POKEMON|RELEASED_SHINY|RELEASED_SHADOW|RELEASED_MEGA|RARITY||pokedexId|assetBundleSuffix|assetBundleValue|assetBundleCostume|pokemon_image|pokemon_image_shiny
||||||||||||||||||||||||||||||||||||||||||||||
PLACEHOLDER|MISSINGNO|Unknown Pokemon|Placeholder Pokemon|MISSINGNO||||||MISSINGNO|MISSINGNO|||NORMAL||100|100|100|FAMILY_MISSINGNO|MISSINGNO||000|0|UNKNOWN|||||||MYTHIC||||????|????|????||EVENT||000||||pokemon_icon_000.png|pokemon_icon_000_shiny.png
||||||||||||||||||||||||||||||||||||||||||||||
POGO|BULBASAUR|Bulbasaur||BULBASAUR||||||BULBASAUR|BULBASAUR||bulbasaur|GRASS|POISON|118|111|128|FAMILY_BULBASAUR|BULBASAUR||001|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|RELEASED_SHADOW||STARTER||001||||pokemon_icon_001_00.png|pokemon_icon_001_00_shiny.png
POGO|IVYSAUR|Ivysaur||IVYSAUR||||||IVYSAUR|IVYSAUR||ivysaur|GRASS|POISON|151|143|155|FAMILY_BULBASAUR|BULBASAUR||002|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|RELEASED_SHADOW||STARTER||002||||pokemon_icon_002_00.png|pokemon_icon_002_00_shiny.png
POGO|VENUSAUR|Venusaur||VENUSAUR||||||VENUSAUR|VENUSAUR||venusaur|GRASS|POISON|198|189|190|FAMILY_BULBASAUR|BULBASAUR||003|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|RELEASED_SHADOW|RELEASED_MEGA|STARTER||003||||pokemon_icon_003_00.png|pokemon_icon_003_00_shiny.png
POGO|CHARMANDER|Charmander||CHARMANDER||||||CHARMANDER|CHARMANDER||charmander|FIRE||116|93|118|FAMILY_CHARMANDER|CHARMANDER||004|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|RELEASED_SHADOW||STARTER||004||||pokemon_icon_004_00.png|pokemon_icon_004_00_shiny.png
POGO|CHARMELEON|Charmeleon||CHARMELEON||||||CHARMELEON|CHARMELEON||charmeleon|FIRE||158|126|151|FAMILY_CHARMANDER|CHARMANDER||005|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|RELEASED_SHADOW||STARTER||005||||pokemon_icon_005_00.png|pokemon_icon_005_00_shiny.png
POGO|CHARIZARD|Charizard||CHARIZARD||||||CHARIZARD|CHARIZARD||charizard|FIRE|FLYING|223|173|186|FAMILY_CHARMANDER|CHARMANDER||006|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|RELEASED_SHADOW|RELEASED_MEGA|STARTER||006||||pokemon_icon_006_00.png|pokemon_icon_006_00_shiny.png
POGO|SQUIRTLE|Squirtle||SQUIRTLE||||||SQUIRTLE|SQUIRTLE||squirtle|WATER||94|121|127|FAMILY_SQUIRTLE|SQUIRTLE||007|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|RELEASED_SHADOW||STARTER||007||||pokemon_icon_007_00.png|pokemon_icon_007_00_shiny.png
POGO|WARTORTLE|Wartortle||WARTORTLE||||||WARTORTLE|WARTORTLE||wartortle|WATER||126|155|153|FAMILY_SQUIRTLE|SQUIRTLE||008|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|RELEASED_SHADOW||STARTER||008||||pokemon_icon_008_00.png|pokemon_icon_008_00_shiny.png
POGO|BLASTOISE|Blastoise||BLASTOISE||||||BLASTOISE|BLASTOISE||blastoise|WATER||171|207|188|FAMILY_SQUIRTLE|SQUIRTLE||009|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|RELEASED_SHADOW|RELEASED_MEGA|STARTER||009||||pokemon_icon_009_00.png|pokemon_icon_009_00_shiny.png
POGO|CATERPIE|Caterpie||CATERPIE||||||CATERPIE|CATERPIE||caterpie|BUG||55|55|128|FAMILY_CATERPIE|CATERPIE||010|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|||COMMON||010||||pokemon_icon_010_00.png|pokemon_icon_010_00_shiny.png
POGO|METAPOD|Metapod||METAPOD||||||METAPOD|METAPOD||metapod|BUG||45|80|137|FAMILY_CATERPIE|CATERPIE||011|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|||COMMON||011||||pokemon_icon_011_00.png|pokemon_icon_011_00_shiny.png
