ID|NAME|CP|LVL|STATE|SHINY|MOVE1|MOVE2|MOVE3
SQUIRTLE|Squirtle|597|23|TRADE||||
BLASTOISE|Blastoise|1,748|25|||||
ZUBAT|Zubat|416|23|TRADE||||
GOLBAT|Golbat|1,309|23|TRADE||||
CHARMANDER|Charmander|687|25|89%||||
CHARIZARD|Charizard|2,038|25|||||
HOUNDOUR|Houndour|848|25|80%||||
CHARMANDER|Charmander|679|25|84%||||
HOUNDOOM|Houndoom|1,777|24|TRADE||||
LARVITAR|Larvitar|681|24|TRADE||||
PSYDUCK|Psyduck|752|24|TRADE||||
TURTWIG|Turtwig|796|24|TRADE||||
SNORLAX|Snorlax|2,254|25|82%||||
VENONAT|Venonat|627|22|TRADE||||
MAGIKARP|Magikarp|129|18|TRADE||||
LARVITAR|Larvitar|703|24|TRADE||||
DRATINI|Dratini|676|24|TRADE||||
CROBAT|Crobat|1,853|25|||||
MAGMAR|Magmar|1,611|24|TRADE||||
GLOOM|Gloom|1,119|24|TRADE||||
DROWZEE|Drowzee|671|23|TRADE||||
MAGMAR|Magmar|1,656|24|TRADE||||
SQUIRTLE|Squirtle|644|25|84%||||
BULBASAUR|Bulbasaur|774|25|87%||||
HITMONCHAN|Hitmonchan|1,560|24|TRADE||||
DUSKNOIR|Dusknoir|2,134|34|LUCKY||||
PORYGON2|Porygon2|1,859|24|TRADE||||
BEEDRILL|Beedrill|1,279|25|87%||||
SABLEYE|Sableye|1,023|25|87%||||
POLITOED|Politoed|1,784|26|LUCKY||||
RATICATE|Raticate|1,228|25|||||
LARVITAR|Larvitar|700|24|TRADE||||
HOUNDOUR|Houndour|815|24|TRADE||||
BELLOSSOM|Bellossom|1,625|25|||||
SCYTHER|Scyther|1,846|24|TRADE||||
MAGNEZONE|Magnezone|2,271|25|||||
MAGNEZONE|Magnezone|2,498|28|||||
LARVITAR|Larvitar|638|22|TRADE||||
SHUPPET|Shuppet|696|25|80%||||
ZUBAT|Zubat|457|25|80%||||
RATICATE|Raticate|1,223|25|LUCKY||||
POLIWAG|Poliwag|569|25|80%||||
HOUNDOOM|Houndoom|1,831|25|84%||||
SANDSLASH|Sandslash|1,678|25|||||
LARVITAR|Larvitar|694|24|80%||||
STANTLER|Stantler|1,542|25|||||
PORYGON2|Porygon2|1,903|25|89%||||
MOLTRES|Moltres|3,267|37|LUCKY||||
GOLBAT|Golbat|1,289|23|TRADE||||
POLIWRATH|Poliwrath|1,823|25|LUCKY||||
TYRANITAR|Tyranitar|3,287|31|100%||||
SALAMENCE|Salamence|2,650|25|91%||||
GOLBAT|Golbat|1,376|25|84%||||
PORYGON_Z|Porygon-Z|2,473|27|100%||||
ZUBAT|Zubat|465|25|91%||||
VILEPLUME|Vileplume|1,820|25|98%||||
MOLTRES|Moltres|2,287|23|TRADE||||
ARCANINE|Arcanine|2,147|25|93%||||
SANDSLASH|Sandslash|1,652|25|87%||||
HITMONLEE|Hitmonlee|1,752|24|TRADE||||
VENONAT|Venonat|662|24|TRADE||||
WOBBUFFET|Wobbuffet|722|26|96%||||
SWAMPERT|Swampert|2,103|25|91%||||
ALAKAZAM|Alakazam|2,097|24|@COUNTER||||
HITMONCHAN|Hitmonchan|1,629|25|84%||||
METAGROSS|Metagross|3,238|31|98%||||
GOLBAT|Golbat|1,312|24|TRADE||||
EXEGGUTOR|Exeggutor|2,130|25|91%||||
HITMONCHAN|Hitmonchan|1,616|25|TRADE||||
WOBBUFFET|Wobbuffet|649|23|TRADE||||
MISDREAVUS|Misdreavus|1,321|24|76%||||
CROBAT|Crobat|1,858|25|LUCKY||||
ALAKAZAM|Alakazam|2,137|25|@COUNTER||||
MAGNEMITE|Magnemite|928|24|TRADE||||
EXEGGUTOR|Exeggutor|2,491|29|LUCKY||||
SANDSLASH|Sandslash|1,674|25|LUCKY||||
WOBBUFFET|Wobbuffet|698|25|89%||||
SANDSHREW|Sandshrew|818|23|TRADE||||
ARCANINE|Arcanine|2,122|25|89%||||
GOLBAT|Golbat|1,292|23|TRADE||||
MAGNEMITE|Magnemite|944|25|87%||||
MISDREAVUS|Misdreavus|1,361|25|LUCKY||||
ARBOK|Arbok|1,368|25|98%||||
TURTWIG|Turtwig|826|25|89%||||
SUICUNE|Suicune|2,084|25|80%||||
BELDUM|Beldum|586|22|TRADE||||
MACHOP|Machop|903|25|91%||||
DRATINI|Dratini|714|26|98%||||
PINSIR|Pinsir|2,060|25|80%||||
