|ID||POKEMON|CP|LVL|STATE|SHINY|LUCKY|%|ATK|DEF|STA|MOVE1|MOVE2|MOVE3|MEGA_EVOLVED|COSTUME|LEGENDARY|MYTHICAL|PURIFIED|BABY
1|HO_OH|252|Ho-Oh|1,616|15|VALUABLE|SHINY||||||||-|-||LEGENDARY|||
2|SLAKOTH|289|Slakoth|627|23||SHINY||||||||-|-|||||
3|SLAKING|291|Slaking|4,220|37|LUCKY|SHINY|LUCKY|96%|14|15|14|Yawn|Body Slam|Play Rough|-|||||
4|SLAKOTH|289|Slakoth|572|21||SHINY||||||||-|-|||||
5|SLAKOTH|289|Slakoth|818|30||SHINY||||||||-|-|||||
6|SLAKOTH|289|Slakoth|518|19||SHINY||||||||-|-|||||
7|SLAKOTH|289|Slakoth|709|26||SHINY||||||||-|-|||||
8|EXEGGUTOR_ALOLA|750|Alolan Exeggutor|2,177|26||SHINY||||||Bullet Seed|Dragon Pulse|-|-|||||
9|SLAKOTH|289|Slakoth|736|27||SHINY||||||||-|-|||||
10|SLAKOTH|289|Slakoth|545|20||SHINY||||||||-|-|||||
11|NATU|179|Natu|421|14||SHINY||||||||-|-|||||
12|MUDKIP|260|Mudkip|1,001|35||SHINY||||||||-|-|||||
13|MUDKIP|260|Mudkip|80|3||SHINY||||||||-|-|||||
14|MUDKIP|260|Mudkip|924|30||SHINY||||||||-|-|||||
15|EEVEE|134|Eevee|449|15||SHINY||89%|14|15|11|||-|-|||||
16|RALTS_MALE|943|Ralts♂|331|23||SHINY||||||||-|-|||||
17|RALTS_FEMALE|942|Ralts♀|52|4||SHINY||||||||-|-|||||
18|RALTS_MALE|943|Ralts♂|331|23||SHINY||||||||-|-|||||
19|RALTS_MALE|943|Ralts♂|403|28||SHINY||||||||-|-|||||
20|SNEASEL|217|Sneasel|1,020|18||SHINY||||||||-|-|||||
21|SUICUNE|247|Suicune|1,657|20|VALUABLE|SHINY||||||||-|-||LEGENDARY|||
22|SNEASEL|217|Sneasel|447|8||SHINY||||||||-|-|||||
23|TURTWIG|397|Turtwig|16|1||SHINY||||||||-|-|||||
24|TURTWIG|397|Turtwig|681|21||SHINY||||||||-|-|||||
25|TURTWIG|397|Turtwig|50|2||SHINY||82%|11|13|13|||-|-|||||
26|LILLIPUP|556|Lillipup|117|5||SHINY||||||||-|-|||||
27|GIRATINA_ALTERED|516|Giratina (Altered)|1,907|20|VALUABLE|SHINY||89%|14|14|12|Shadow Claw|Shadow Sneak|-|-||LEGENDARY|||
28|TRAPINCH|330|Trapinch|127|4||SHINY||||||||-|-|||||
29|ODDISH|44|Oddish|437|13||SHINY||||||||-|-|||||
30|ONIX|96|Onix|173|6||SHINY||||||||-|-|||||
31|BLASTOISE|10|Blastoise|1,503|22|VALUABLE|SHINY||89%|13|15|12|Water Gun|Hydro Pump|-|-|||||
32|BAGON|377|Bagon|473|15||SHINY||||||||-|-|||||
32|SWINUB|222|Swinub|419|21|TRASH|SHINY||||||||-|-|||||
33|TRAPINCH|330|Trapinch|1,045|30||SHINY||||||||-|-|||||
34|RALTS_FEMALE|942|Ralts♀|454|33||SHINY||||||||-|-|||||
35|RALTS_MALE|943|Ralts♂|68|5||SHINY||||||||-|-|||||
36|TURTWIG|397|Turtwig|584|18||SHINY||||||||-|-|||||
37|MR_MIME|123|Mr. Mime|1,879|31||SHINY||||||||-|-|||||
38|HO_OH|252|Ho-Oh|2,154|20|VALUABLE|SHINY||87%|14|12|13|Steel Wing|Fire Blast|-|-||LEGENDARY|||
39|PATRAT|554|Patrat|642|30||SHINY||||||||-|-|||||
40|TURTWIG|397|Turtwig|389|12||SHINY||||||||-|-|||||
41|WEAVILE|483|Weavile|1,699|20|VALUABLE|SHINY||93%|13|15|14|Ice Shard|Avalanche|-|-|||||
42|SHELLDER|91|Shellder|884|30||SHINY||||||||-|-|||||
43|TAILLOW|278|Taillow|310|15||SHINY||||||||-|-|||||
44|PIPLUP|403|Piplup|14|1||SHINY||||||||-|-|||||
45|PIPLUP|403|Piplup|498|17||SHINY||||||||-|-|||||
46|PIPLUP|403|Piplup|557|19||SHINY||||||||-|-|||||
47|PIPLUP|403|Piplup|45|2||SHINY||||||||-|-|||||
48|GYARADOS|131|Gyarados|2,643|28|VALUABLE|SHINY||||||Bite|Aqua Tail|-|-|||||
49|HEATRAN|513|Heatran|2,093|20|VALUABLE|SHINY||||||Fire Spin|Iron Head|-|-||LEGENDARY|||
50|LICKITUNG|109|Lickitung|773|20|VALUABLE|SHINY||||||Lick|Body Slam|-|-|||||
51|RHYHORN|112|Rhyhorn|70|2||SHINY||||||||-|-|||||
52|LICKITUNG|109|Lickitung|580|15||SHINY||||||||-|-|||||
53|RHYPERIOR|486|Rhyperior|2,913|28|VALUABLE|SHINY||||||Smack Down|Rock Wrecker|-|-|||||
54|GENGAR_PARTY_HAT_RED|840|Gengar (Red Party Hat)|1,997|25|VALUABLE|SHINY||||||Lick|Psychic|-|-|PARTY_HAT_RED||||
55|DARKRAI|521|Darkrai|2,500|24|VALUABLE|SHINY||89%|15|14|11|Snarl|Shadow Ball|-|-|||MYTHIC||
56|TORCHIC|257|Torchic|266|9||SHINY||||||||-|-|||||
57|GROWLITHE|59|Growlithe|782|23||SHINY||||||||-|-|||||
58|COBALION|704|Cobalion|1,680|20|VALUABLE|SHINY||||||Metal Claw|Sacred Sword|-|-||LEGENDARY|||
59|ALAKAZAM|66|Alakazam|580|7|VALUABLE|SHINY||||||Counter|Future Sight|-|-|||||
60|ABRA|64|Abra|250|7||SHINY||||||||-|-|||||
61|ABRA|64|Abra|173|5||SHINY||||||||-|-|||||
